Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
1996JJ00,10000,12.0,73.0,6.0,58.0,15.0,60.0,18.0,1996JJ00,38.0,3000,62.0,171,22.3,,,10000,Total all ages
1997JJ00,10000,8.0,67.0,13.0,37.0,14.0,73.0,27.0,1997JJ00,46.0,3000,55.0,170,22.0,,,10000,Total all ages
1998JJ00,10000,8.0,63.0,9.0,44.0,8.0,62.0,22.0,1998JJ00,44.0,3000,56.0,158,20.3,,,10000,Total all ages
1999JJ00,10000,14.0,79.0,5.0,65.0,10.0,43.0,12.0,1999JJ00,50.0,3000,58.0,168,21.5,,,10000,Total all ages
2000JJ00,10000,5.0,74.0,4.0,54.0,20.0,43.0,20.0,2000JJ00,36.0,3000,50.0,153,19.4,,,10000,Total all ages
2001JJ00,10000,7.0,78.0,3.0,68.0,12.0,38.0,25.0,2001JJ00,60.0,3000,65.0,178,22.4,,,10000,Total all ages
2002JJ00,10000,14.0,69.0,1.0,71.0,12.0,22.0,19.0,2002JJ00,54.0,3000,56.0,159,19.9,,,10000,Total all ages
2003JJ00,10000,12.0,57.0,5.0,59.0,18.0,28.0,25.0,2003JJ00,54.0,3000,60.0,159,19.8,,,10000,Total all ages
2004JJ00,10000,15.0,55.0,8.0,66.0,14.0,24.0,16.0,2004JJ00,60.0,3000,70.0,164,20.4,,,10000,Total all ages
2005JJ00,10000,7.0,53.0,8.0,62.0,16.0,10.0,18.0,2005JJ00,42.0,3000,44.0,130,16.1,,,10000,Total all ages
2006JJ00,10000,4.0,36.0,6.0,49.0,8.0,22.0,14.0,2006JJ00,24.0,3000,43.0,103,12.7,,,10000,Total all ages
2007JJ00,10000,10.0,39.0,5.0,53.0,14.0,15.0,13.0,2007JJ00,31.0,3000,46.0,113,14.0,,,10000,Total all ages
2008JJ00,10000,9.0,44.0,5.0,50.0,8.0,22.0,14.0,2008JJ00,46.0,3000,54.0,126,15.5,,,10000,Total all ages
2009JJ00,10000,13.0,49.0,5.0,66.0,8.0,15.0,11.0,2009JJ00,37.0,3000,48.0,126,15.4,,,10000,Total all ages
2010JJ00,10000,8.0,34.0,4.0,47.0,8.0,12.0,8.0,2010JJ00,34.0,3000,47.0,101,12.3,,,10000,Total all ages
2011JJ00,10000,13.0,45.0,4.0,51.0,13.0,17.0,8.0,2011JJ00,30.0,3000,41.0,111,13.4,,,10000,Total all ages
2012JJ00,10000,15.0,48.0,4.0,43.0,10.0,20.0,11.0,2012JJ00,31.0,3000,26.0,104,12.5,,,10000,Total all ages
2013JJ00,10000,9.0,30.0,7.0,42.0,6.0,21.0,12.0,2013JJ00,20.0,3000,31.0,89,10.7,,,10000,Total all ages
2014JJ00,10000,10.0,46.0,11.0,46.0,11.0,17.0,7.0,2014JJ00,39.0,3000,39.0,113,13.5,,,10000,Total all ages
2015JJ00,10000,9.0,36.0,2.0,30.0,4.0,11.0,3.0,2015JJ00,32.0,3000,27.0,77,9.2,,,10000,Total all ages
2016JJ00,10000,7.0,28.0,2.0,32.0,10.0,5.0,2.0,2016JJ00,27.0,3000,35.0,74,9.0,,,10000,Total all ages
1996JJ00,41410,1.0,2.0,2.0,10.0,1.0,3.0,4.0,1996JJ00,2.0,3000,7.0,16,8.3,,,41410,Younger than 20 years
1997JJ00,41410,2.0,5.0,4.0,6.0,1.0,12.0,7.0,1997JJ00,4.0,3000,5.0,23,11.8,,,41410,Younger than 20 years
